Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes
H18,10,6/28/2022,EG/LS,0,1,0,1,
O05,11,7/22/2022,EG/LS,7,2,1,10,
M31,2,6/18/2022,EG/LS,2,2,1,5,
N24,2,6/26/2022,EG/LS,4,3,3,10,1 wing
L03,1,7/24/2022,EG/LS/WH,7,3,4,14,3 deaths
F20,13,7/9/2022,EG/LS,1,1,3,5,1 death
G16,1,6/24/2022,EG/LS/AP,0,0,0,0,1 pair wings
J26,21,6/29/2022,EG/LS/JM,2,2,2,6,
I26,1,7/10/2022,EG/LS,0,0,0,0,
M20,6,6/24/2022,EG/LS/AP,0,0,0,0,
K15,24,7/25/2022,EG/LS/JM,0,0,0,0,1 death
L29,2,6/16/2022,LS,0,0,0,0,
N06,2,7/21/2022,EG/LS,2,2,1,5,1 death
I32,3,8/13/2022,EG/LS,0,0,0,0,
K27,10,6/22/2022,LS,0,0,0,0,
P32,20,8/12/2022,EG/LS,0,0,0,0,
K09,20,6/25/2022,EG/LS/JM,0,0,0,0,
K32,6,6/11/2022,LS,0,0,1,1,1 HERG nest
F21,10,7/9/2022,EG/LS,0,0,0,0,
L27,4,6/22/2022,EG/LS,0,2,0,2,
M05,25,7/21/2022,EG/LS,1,1,1,3,2 deaths
G15,25,7/28/2022,EG/LS/AP,0,0,1,1,
N28,20,6/18/2022,EG/LS,14,2,5,21,
O25,23,6/22/2022,EG/LS,6,1,3,10,
L04,11,7/24/2022,EG/LS/WH,9,1,7,17,1 death
G08,8,6/17/2022,EG,0,0,0,0,
E21,10,7/9/2022,EG/LS/JM,0,0,0,0,
J08,10,6/25/2022,EG/LS/JM,0,0,0,0,
D19,22,7/9/2022,EG/LS/JM,1,0,1,2,1 death
F10,5,7/5/2022,EG/LS,0,0,0,0,
M05,24,7/21/2022,EG/LS,15,6,2,23,
I07,24,6/25/2022,EG/LS,0,1,0,1,
I05,5,7/13/2022,EG/LS,0,0,0,0,
J06,18,7/12/2022,EG/LS,0,0,0,0,
M02,17,8/15/2022,EG/LS,16,3,2,21,
K30,10,6/16/2022,EG,2,1,2,5,
I31,5,8/13/2022,EG/LS,0,0,0,0,
N29,1,6/11/2022,LS,7,3,1,11,
J10,21,7/5/2022,EG/LS,0,0,0,0,blueberries!
K07,12,6/25/2022,EG/LS,3,1,2,6,
E17,10,7/30/2022,EG/LS,0,0,0,0,1 death
G07,17,6/17/2022,LS,0,0,0,0,
K35,24,8/13/2022,EG/LS,0,0,0,0,
M24,1,6/23/2022,LS,1,0,0,1,
I28,5,7/16/2022,EG/LS,2,0,2,4,1 death
K15,12,7/25/2022,EG/LS/JM,0,1,0,1,1 death
I17,18,6/24/2022,EG/LS/AP,0,0,0,0,
I19,21,6/28/2022,EG/LS,0,3,1,4,
D16,5,7/30/2022,EG/LS,0,2,0,2,
J17,25,6/24/2022,EG/LS/AP,0,3,0,3,3 pairs wings
Q33,5,8/12/2022,EG/LS,0,0,0,0,
M36,4,8/11/2022,EG/LS,0,0,0,0,
E08,11,6/17/2022,EG/LS,0,0,0,0,
J14,16,7/25/2022,EG/LS/JM,0,1,0,1,
N04,22,7/22/2022,EG/LS,3,0,1,4,1 death
L19,14,7/7/2022,EG/LS/JM,0,2,0,2,1 wing
G22,5,7/10/2022,EG/LS,0,0,0,0,
H17,7,6/24/2022,EG/LS/AP,0,0,0,0,
K28,16,6/16/2022,EG/LS,6,4,3,13,
K05,18,7/13/2022,EG/LS,15,4,5,24,
E09,22,6/17/2022,LS,0,0,0,0,
L26,23,6/22/2022,EG/LS,0,0,0,0,
K05,20,7/13/2022,EG/LS,11,2,5,18,
J02,23,8/15/2022,EG/LS,0,2,1,3,
G10,7,7/5/2022,EG/LS,0,0,0,0,
N32,11,8/11/2022,EG/LS,0,1,2,3,
M04,3,7/24/2022,EG/LS/WH,14,3,4,21,3 deaths
L35,17,8/13/2022,EG/LS,2,0,3,5,
M29,22,6/11/2022,"EG, LS",2,1,0,3,
E10,22,7/5/2022,EG/LS,0,0,0,0,
J33,7,8/13/2022,EG/LS,0,0,0,0,
N31,15,6/18/2022,EG/LS,0,0,0,0,
I13,8,7/28/2022,EG/LS/AP,0,0,0,0,
H20,18,6/28/2022,EG/LS,1,2,2,5,
I03,12,7/24/2022,EG/LS/WH,0,0,0,0,
E16,17,7/30/2022,EG/LS,0,0,0,0,
N01,17,7/22/2022,EG/LS,1,0,1,2,1 death
K21,14,6/12/2022,LS,2,2,2,6,
K28,19,6/16/2022,EG/LS,1,3,0,4,
L32,16,6/11/2022,EG,0,0,0,0,
L31,16,6/12/2022,LS,0,0,0,0,
K23,12,6/23/2022,LS,0,0,0,0,
I19,15,6/28/2022,EG/LS,0,1,0,1,
M32,22,8/11/2022,EG/LS,0,0,0,0,
O30,1,6/11/2022,EG,0,0,0,0,
N29,6,6/11/2022,EG ,7,5,6,18,
J03,10,7/24/2022,EG/LS/WH,0,1,1,2,
H07,23,6/25/2022,EG/LS,1,2,0,3,
K29,12,6/16/2022,EG,4,1,1,6,
N26,8,6/22/2022,LS,4,1,0,5,
M33,14,8/11/2022,EG/LS,0,0,0,0,
K26,11,6/22/2022,LS,0,1,0,1,
I21,25,6/28/2022,EG/LS,0,0,0,0,
K29,11,6/16/2022,LS,2,4,4,10,
H09,3,6/25/2022,EG/LS/JM,0,0,0,0,
D06,23,8/16/2022,EG/LS,0,0,0,0,
O31,24,6/18/2022,EG/LS,0,0,0,0,
E21,8,7/9/2022,EG/LS/JM,0,0,0,0,
N05,8,7/21/2022,EG/LS,4,0,3,7,2 deaths
J23,8,6/23/2022,EG/LS/JM,0,0,0,0,
K06,6,7/12/2022,EG/LS,0,0,0,0,
D07,10,8/16/2022,EG/LS,0,0,0,0,
G08,5,6/17/2022,LS,0,0,0,0,
D18,8,7/30/2022,EG/LS,0,0,0,0,
L26,6,6/22/2022,EG/LS,0,0,0,0,
H32,5,8/13/2022,EG/LS,0,0,0,0,
O32,1,8/11/2022,EG/LS,0,0,0,0,
L21,16,6/12/2022,LS,2,0,1,3,
I25,3,7/10/2022,EG/LS,0,0,0,0,
J13,21,7/25/2022,EG/LS/JM,1,2,0,3,
L34,18,8/13/2022,EG/LS,0,0,0,0,
H10,24,7/5/2022,EG/LS,0,0,0,0,
J26,16,6/29/2022,EG/LS/JM,0,0,0,0,
K08,7,6/25/2022,EG/LS/JM,0,0,1,1,
M34,16,8/11/2022,EG/LS,2,0,0,2,
I02,3,8/15/2022,EG/LS,0,0,0,0,
H21,23,6/28/2022,EG/LS,0,0,0,0,
M33,8,8/11/2022,EG/LS,0,0,0,0,
I14,6,7/28/2022,EG/LS/AP,0,2,1,3,1 death
I13,15,7/28/2022,EG/LS/AP,0,0,1,1,
K02,21,8/15/2022,EG/LS,0,1,0,1,
E06,16,6/17/2022,EG/LS,0,0,0,0,
M34,9,8/11/2022,EG/LS,2,0,0,2,incl. foundation
P30,21,8/12/2022,EG/LS,0,0,0,0,
E16,21,7/30/2022,EG/LS,0,0,0,0,
K30,1,6/16/2022,LS,5,2,4,11,
H09,5,6/25/2022,EG/LS/JM,0,0,0,0,
L31,15,6/12/2022,EG,0,1,0,1,
E06,23,6/17/2022,EG/LS,0,0,0,0,
C06,20,8/16/2022,EG/LS,0,0,0,0,
K03,16,7/24/2022,EG/LS/WH,6,3,4,13,2 deaths
H02,4,8/15/2022,EG/LS,0,0,0,0,
G16,25,6/24/2022,EG/LS/AP,0,0,0,0,1 pair wings
N22,7,6/26/2022,EG/LS,5,1,3,9,1 wing
G10,22,7/5/2022,EG/LS,0,0,0,0,
J28,18,6/29/2022,EG/LS,0,0,0,0,
I25,4,7/10/2022,EG/LS,1,1,0,2,
N33,21,8/11/2022,EG/LS,0,0,0,0,
I09,7,6/25/2022,EG/LS/JM,0,0,0,0,
N35,5,8/11/2022,EG/LS,0,0,0,0,
I10,8,7/5/2022,EG/LS,0,0,0,0,
I26,2,7/10/2022,EG/LS,5,4,1,10,
H29,16,7/16/2022,EG/LS,0,0,0,0,
K27,5,6/22/2022,EG,3,1,0,4,
J07,17,6/25/2022,EG/LS,6,1,1,8,
I05,9,7/13/2022,EG/LS,0,0,0,0,
D08,11,8/16/2022,EG/LS,0,0,0,0,
K31,19,6/16/2022,EG,0,1,0,1,
N27,6,6/18/2022,EG/LS,6,3,4,13,
J30,8,6/29/2022,EG/LS,0,0,0,0,
I29,16,7/16/2022,EG/LS,0,0,0,0,
H26,5,7/10/2022,EG/LS,0,0,0,0,
L25,14,6/22/2022,EG/LS,1,1,0,2,
M06,5,7/21/2022,EG/LS,2,2,1,5,2 deaths
J25,20,6/29/2022,EG/LS/JM,4,0,0,4,2 pairs wings
P28,17,7/13/2022,EG/LS/JM,0,0,0,0,
L03,23,7/24/2022,EG/LS/WH,7,1,5,13,2 deaths
J05,23,7/13/2022,EG/LS,0,1,1,2,
I04,16,7/24/2022,EG/LS/WH,0,0,0,0,
N01,11,7/22/2022,EG/LS,0,0,0,0,
E05,19,7/13/2022,EG/LS/JM,0,0,0,0,
K07,7,6/25/2022,EG/LS,0,0,1,1,
H28,10,7/16/2022,EG/LS,0,0,0,0,
I33,20,8/13/2022,EG/LS,0,0,0,0,
D09,12,8/16/2022,EG/LS,0,0,0,0,
O04,16,7/22/2022,EG/LS,5,0,2,7,2 deaths
I20,16,6/28/2022,EG/LS,0,0,0,0,1 wing
F15,24,7/28/2022,EG/LS/AP,0,0,0,0,
H06,19,7/12/2022,EG/LS,0,0,0,0,
G07,21,6/17/2022,EG,0,0,0,0,
J04,20,7/24/2022,EG/LS/WH,4,0,1,5,
L23,18,6/23/2022,EG,1,1,0,2,
C18,20,7/30/2022,EG/LS,0,3,0,3,"1 death, otter scat"
L20,13,7/7/2022,EG/LS/JM,3,3,3,9,1 wing
M07,19,7/21/2022,EG/LS,0,0,0,0,1 wing
M20,12,6/24/2022,EG/LS/AP,0,1,1,2,
L05,2,7/13/2022,EG/LS,2,1,2,5,1 wing
J16,15,6/24/2022,EG/LS/AP,1,0,0,1,
P32,19,8/12/2022,EG/LS,0,0,0,0,
I15,17,7/28/2022,EG/LS/AP,0,0,2,2,
O24,22,7/8/2022,EG/LS,0,0,0,0,
F16,4,7/9/2022,EG/LS/JM,0,0,0,0,
E08,23,6/17/2022,EG/LS,0,0,0,0,
H30,25,8/13/2022,EG/LS,0,0,0,0,
G05,16,7/13/2022,EG/LS,0,0,0,0,
I07,20,6/25/2022,EG/LS,0,0,0,0,
G06,2,6/17/2022,LS,0,0,0,0,
N21,11,7/4/2022,EG/LS,16,0,7,23,
J22,19,6/12/2022,EG,0,0,0,0,
I24,23,7/10/2022,EG/LS,0,0,0,0,
N26,9,6/22/2022,EG,11,2,4,17,
J09,9,6/25/2022,EG/LS/JM,12,7,5,24,
K13,6,7/25/2022,EG/LS/JM,0,0,0,0,
B07,20,8/16/2022,EG/LS,0,0,0,0,
M32,24,8/11/2022,EG/LS,3,0,5,8,
K03,14,7/24/2022,EG/LS/WH,6,3,4,13,
F09,14,6/17/2022,EG,0,0,0,0,
F18,2,7/9/2022,EG/LS,0,0,0,0,1 death
P31,18,8/12/2022,EG/LS,0,0,0,0,
K26,16,6/22/2022,EG,0,0,2,2,
K25,7,6/22/2022,EG/LS,0,1,0,1,
L35,7,8/13/2022,EG/LS,0,0,0,0,
L24,7,6/23/2022,EG/JM,3,3,4,10,
K34,6,8/13/2022,EG/LS,0,0,0,0,
I09,18,6/25/2022,EG/LS/JM,0,0,0,0,
L02,9,8/15/2022,EG/LS,1,1,6,8,
O34,24,8/11/2022,EG/LS,2,0,2,4,
J08,19,6/25/2022,EG/LS/JM,0,0,0,0,
F04,19,8/15/2022,EG/LS,0,0,0,0,
I23,2,7/10/2022,EG/LS,0,0,0,0,
I31,7,8/13/2022,EG/LS,0,0,0,0,
D18,5,7/30/2022,EG/LS,0,0,0,0,
G09,22,6/17/2022,EG,0,0,0,0,
N25,6,6/22/2022,EG/LS,11,7,5,23,
K20,15,7/8/2022,EG/LS,0,0,0,0,
H02,11,8/15/2022,EG/LS,0,0,0,0,
G06,6,6/17/2022,EG,0,0,0,0,
E10,10,7/5/2022,EG/LS,0,0,0,0,
J23,9,6/23/2022,EG/LS/JM,0,1,0,1,
J18,17,7/8/2022,EG/LS,0,1,0,1,
J15,5,7/25/2022,EG/LS/JM,0,0,0,0,
F10,3,7/5/2022,EG/LS,0,0,0,0,1 SPSA nest
H21,19,6/28/2022,EG/LS,0,0,0,0,
J12,11,7/25/2022,EG/LS/JM,0,0,0,0,
L29,23,6/16/2022,EG,0,0,0,0,
O04,22,7/22/2022,EG/LS,6,0,4,10,
L16,16,7/8/2022,EG/LS,8,3,4,15,
E20,1,7/9/2022,EG/LS/JM,0,0,2,2,
L04,13,7/24/2022,EG/LS/WH,0,0,0,0,
H14,17,7/28/2022,EG/LS/AP,0,2,2,4,
L22,15,6/23/2022,EG/LS,2,2,1,5,
K09,18,6/25/2022,EG/LS/JM,0,0,0,0,
J21,5,6/12/2022,EG,2,2,1,5,
L17,23,7/4/2022,EG/LS,0,0,0,0,
M02,6,8/15/2022,EG/LS,10,5,3,18,
G04,15,8/15/2022,EG/LS,0,0,0,0,
C07,11,8/16/2022,EG/LS,0,0,0,0,
L24,22,6/23/2022,LS,0,1,1,2,
F17,23,7/9/2022,EG/LS,0,0,0,0,burrows nearby
G03,22,8/15/2022,EG/LS,0,0,0,0,
I18,18,6/28/2022,EG/LS,0,1,0,1,
L05,18,7/13/2022,EG/LS,0,1,0,1,
G20,13,6/28/2022,EG/LS,0,1,0,1,2 pairs wings  
F05,18,7/13/2022,EG/LS,0,0,0,0,
M26,25,6/22/2022,EG/LS,6,2,3,11,
H23,15,7/10/2022,EG/LS,0,0,0,0,
I03,11,7/24/2022,EG/LS/WH,0,0,0,0,
K04,15,7/24/2022,EG/LS/WH,6,0,2,8,1 death
G18,11,6/28/2022,EG/LS,0,1,0,1,
M23,11,6/23/2022,LS,3,1,3,7,1 pair wings
K16,15,6/24/2022,EG/LS/AP,2,0,2,4,1 pair wings
D10,25,8/16/2022,EG/LS,0,0,0,0,
D10,10,8/16/2022,EG/LS,0,0,0,0,
D20,20,7/9/2022,EG/LS/JM,0,0,0,0,
J16,13,6/24/2022,EG/LS/AP,0,0,0,0,4 pairs wings. 28 wings in general vicinity (5 minutes walking around plot)
J29,20,6/29/2022,EG/LS,0,0,0,0,
G22,9,7/10/2022,EG/LS,0,0,0,0,
K33,21,6/11/2022,LS,0,0,0,0,2 HERG nests
L28,22,6/16/2022,EG/LS,0,2,3,5,
I33,24,8/13/2022,EG/LS,0,0,0,0,
M07,8,7/21/2022,EG/LS,0,0,1,1,
F19,15,7/9/2022,EG/LS,0,0,0,0,
J25,22,6/29/2022,EG/LS/JM,1,1,4,6,
N34,6,8/11/2022,EG/LS,0,1,0,1,
D17,11,7/30/2022,EG/LS,0,0,0,0,
L34,2,8/13/2022,EG/LS,0,0,0,0,
J17,4,6/24/2022,EG/LS/AP,0,2,0,2,1 pair wings
N06,22,7/21/2022,EG/LS,2,0,2,4,
F06,22,6/17/2022,EG/LS,3,1,0,4,
M30,2,6/10/2022,,3,1,2,6,"did whole plot, adjusted"
M30,1,6/10/2022,"EG, LS",3,1,2,6,Whole Plot
N22,15,6/26/2022,EG/LA,9,1,0,10,1 wing
